n,2n,closest_value,d(n)
49996683,99993366,100202398,209032
49993375,99986750,100195762,209012
49992935,99985870,100194880,209010
49991151,99982302,100191310,209008
49989403,99978806,100187806,209000
49988455,99976910,100185898,208988
49985791,99971582,100180570,208988
49984621,99969242,100178224,208982
49983559,99967118,100176100,208982
49982117,99964234,100173208,208974
49981087,99962174,100171144,208970
49980543,99961086,100170047,208961
49976135,99952270,100161217,208947
49972463,99944926,100153852,208926
49970927,99941854,100150778,208924
49969599,99939198,100148116,208918
49967287,99934574,100143490,208916
49966319,99932638,100141546,208908
49965055,99930110,100139003,208893
49962703,99925406,100134292,208886
49960895,99921790,100130665,208875
49957503,99915006,100123867,208861
49956319,99912638,100121491,208853
49954907,99909814,100118666,208852
49953895,99907790,100116638,208848
49949497,99898994,100107829,208835
49947835,99895670,100104493,208823
49943791,99887582,100096388,208806
49942639,99885278,100094080,208802
49941439,99882878,100091680,208802
49941047,99882094,100090889,208795
49938503,99877006,100085800,208794
49938047,99876094,100084882,208788
49936287,99872574,100081358,208784
49936091,99872182,100080956,208774
49935103,99870206,100078973,208767
49934713,99869426,100078193,208767
49932495,99864990,100073752,208762
49931527,99863054,100071814,208760
49931131,99862262,100071013,208751
49930399,99860798,100069546,208748
49930011,99860022,100068766,208744
49927583,99855166,100063900,208734
49924591,99849182,100057913,208731
49923519,99847038,100055756,208718
49919529,99839058,100047761,208703
49918591,99837182,100045880,208698
49916927,99833854,100042543,208689
49912299,99824598,100033283,208685
49910515,99821030,100029698,208668
49908761,99817522,100026188,208666
49907425,99814850,100023506,208656
49906665,99813330,100021981,208651
49905567,99811134,100019782,208648
49902919,99805838,100014478,208640
49902759,99805518,100014158,208640
49901415,99802830,100011461,208631
49898665,99797330,100005946,208616
49894379,99788758,99997355,208597
49892295,99784590,99993178,208588
49890943,99781886,99990467,208581
49888447,99776894,99985468,208574
49885743,99771486,99980050,208564
49885031,99770062,99978622,208560
49884041,99768082,99976636,208554
49882751,99765502,99974054,208552
49881115,99762230,99970774,208544
49878355,99756710,99965240,208530
49876719,99753438,99961964,208526
49875625,99751250,99959768,208518
49873703,99747406,99955924,208518
49869741,99739482,99947996,208514
49869695,99739390,99947881,208491
49868703,99737406,99945895,208489
49865069,99730138,99938620,208482
49864361,99728722,99937204,208482
49864247,99728494,99936976,208482
49863935,99727870,99936341,208471
49863623,99727246,99935714,208468
49861863,99723726,99932188,208462
49860577,99721154,99929614,208460
49856511,99713022,99921476,208454
49854689,99709378,99917819,208441
49853607,99707214,99915646,208432
49853471,99706942,99915370,208428
49852263,99704526,99912953,208427
49851049,99702098,99910516,208418
49849683,99699366,99907780,208414
49847405,99694810,99903223,208413
49844649,99689298,99897704,208406
49844137,99688274,99896662,208388
49843295,99686590,99894976,208386
49841639,99683278,99891658,208380
49836283,99672566,99880924,208358
49836199,99672398,99880751,208353
49835519,99671038,99879388,208350
49835167,99670334,99878680,208346
49833831,99667662,99876007,208345
49833287,99666574,99874919,208345
49830651,99661302,99869638,208336
49829471,99658942,99867271,208329
49827113,99654226,99862544,208318
49826473,99652946,99861262,208316
49824603,99649206,99857515,208309
49823983,99647966,99856270,208304
49823231,99646462,99854765,208303
49820809,99641618,99849908,208290
49818779,99637558,99845842,208284
49815599,99631198,99839470,208272
49813663,99627326,99835582,208256
49811951,99623902,99832151,208249
49808847,99617694,99825938,208244
49808521,99617042,99825280,208238
49807055,99614110,99822341,208231
49803539,99607078,99815308,208230
49802599,99605198,99813428,208230
49800877,99601754,99809981,208227
49800607,99601214,99809422,208208
49798503,99597006,99805199,208193
49794681,99589362,99797548,208186
49792941,99585882,99794068,208186
49790811,99581622,99789803,208181
49789737,99579474,99787633,208159
49787199,99574398,99782549,208151
49787131,99574262,99782408,208146
49785311,99570622,99778768,208146
49783995,99567990,99776134,208144
49783275,99566550,99774682,208132
49781887,99563774,99771905,208131
49780559,99561118,99769243,208125
49779103,99558206,99766330,208124
49778591,99557182,99765296,208114
49777663,99555326,99763433,208107
49772751,99545502,99753599,208097
49771351,99542702,99750796,208094
49770991,99541982,99750068,208086
49769277,99538554,99746639,208085
49768447,99536894,99744965,208071
49765097,99530194,99738259,208065
49763999,99527998,99736051,208053
49761599,99523198,99731248,208050
49760303,99520606,99728656,208050
49758319,99516638,99724663,208025
49756335,99512670,99720695,208025
49754857,99509714,99717736,208022
49752175,99504350,99712370,208020
49751655,99503310,99711323,208013
49751259,99502518,99710527,208009
49749095,99498190,99706184,207994
49748563,99497126,99705118,207992
49746255,99492510,99700496,207986
49744381,99488762,99696743,207981
49743827,99487654,99695630,207976
49742847,99485694,99693664,207970
49739731,99479462,99687413,207951
49739319,99478638,99686585,207947
49736247,99472494,99680434,207940
49734271,99468542,99676469,207927
49733311,99466622,99674545,207923
49731071,99462142,99670055,207913
49729193,99458386,99666292,207906
49727865,99455730,99663635,207905
49726463,99452926,99660824,207898
49725663,99451326,99659218,207892
49723617,99447234,99655120,207886
49722047,99444094,99651971,207877
49720859,99441718,99649592,207874
49720831,99441662,99649531,207869
49719067,99438134,99645995,207861
49716415,99432830,99640690,207860
49714809,99429618,99637474,207856
49713883,99427766,99635609,207843
49706463,99412926,99620746,207820
49705151,99410302,99618113,207811
49704703,99409406,99617212,207806
49703551,99407102,99614902,207800
49703271,99406542,99614342,207800
49702227,99404454,99612251,207797
49696239,99392478,99600248,207770
49693723,99387446,99595204,207758
49690849,99381698,99589445,207747
49688191,99376382,99584114,207732
49685439,99370878,99578605,207727
49684905,99369810,99577532,207722
49681791,99363582,99571292,207710
49681747,99363494,99571202,207708
49680207,99360414,99568120,207706
49680125,99360250,99567955,207705
49675979,99351958,99559651,207693
49675967,99351934,99559621,207687
49671807,99343614,99551278,207664
